id,count,isConnected,edge,vertex1,vertex2,vertex3,vertex4,vertex5,vertex6
12,2,TRUE,2,182,,,,,
16,4,TRUE,2,63,,,,,
17,4,TRUE,2,258,,,,,
19,2,TRUE,2,359,,,,,
21,4,TRUE,2,184,,,,,
32,6,TRUE,2,65,,,,,
33,3,TRUE,2,138,,,,,
37,4,TRUE,2,299,,,,,
48,7,TRUE,2,101,,,,,
58,4,TRUE,2,222,,,,,
59,3,TRUE,2,240,,,,,
73,5,TRUE,2,157,,,,,
74,5,TRUE,2,25,,,,,
76,2,TRUE,2,165,,,,,
83,0,TRUE,2,164,,,,,
84,4,TRUE,2,96,,,,,
86,2,TRUE,2,73,,,,,
87,0,TRUE,2,27,,,,,
89,2,TRUE,2,215,,,,,
97,4,TRUE,2,48,,,,,
100,0,TRUE,2,53,,,,,
101,4,TRUE,2,7,,,,,
104,1,TRUE,2,284,,,,,
110,6,TRUE,2,194,,,,,
111,3,TRUE,2,168,,,,,
119,2,TRUE,2,9,,,,,
124,3,TRUE,2,201,,,,,
125,1,TRUE,2,126,,,,,
126,5,TRUE,2,326,,,,,
136,3,TRUE,2,18,,,,,
144,7,TRUE,2,264,,,,,
155,1,TRUE,2,84,,,,,
158,2,TRUE,2,288,,,,,
159,2,TRUE,2,157,,,,,
164,4,TRUE,2,137,,,,,
165,4,TRUE,2,217,,,,,
171,2,TRUE,2,173,,,,,
189,1,TRUE,2,359,,,,,
193,3,TRUE,2,207,,,,,
209,4,TRUE,2,196,,,,,
212,1,TRUE,2,10,,,,,
231,2,TRUE,2,219,,,,,
232,2,TRUE,2,4,,,,,
243,2,TRUE,2,94,,,,,
246,4,TRUE,2,287,,,,,
254,2,TRUE,2,245,,,,,
262,6,TRUE,2,170,,,,,
265,4,TRUE,2,284,,,,,
275,4,TRUE,2,114,,,,,
290,2,TRUE,2,93,,,,,
296,6,TRUE,2,170,,,,,
299,6,TRUE,2,214,,,,,
320,2,TRUE,2,25,,,,,
325,5,TRUE,2,259,,,,,
328,3,TRUE,2,23,,,,,
332,2,TRUE,2,203,,,,,
336,2,TRUE,2,347,,,,,
337,3,TRUE,2,285,,,,,
338,4,TRUE,2,230,,,,,
346,0,TRUE,2,330,,,,,
350,1,TRUE,2,248,,,,,
351,1,TRUE,2,232,,,,,
354,5,TRUE,2,133,,,,,
355,1,TRUE,2,222,,,,,
356,6,TRUE,2,295,,,,,
0,6,TRUE,3,136,73,,,,
3,0,TRUE,3,34,144,,,,
7,5,TRUE,3,51,124,,,,
8,3,TRUE,3,81,274,,,,
13,4,TRUE,3,40,296,,,,
14,3,TRUE,3,18,224,,,,
27,5,TRUE,3,287,53,,,,
40,2,TRUE,3,233,222,,,,
41,3,TRUE,3,283,290,,,,
52,7,TRUE,3,203,29,,,,
53,8,TRUE,3,255,136,,,,
57,3,TRUE,3,195,187,,,,
62,3,TRUE,3,198,334,,,,
65,4,TRUE,3,134,39,,,,
70,5,TRUE,3,285,359,,,,
71,3,TRUE,3,97,256,,,,
72,3,TRUE,3,323,101,,,,
77,4,TRUE,3,215,165,,,,
79,3,TRUE,3,110,43,,,,
82,2,TRUE,3,5,185,,,,
88,5,TRUE,3,299,115,,,,
92,4,TRUE,3,49,153,,,,
93,5,TRUE,3,260,289,,,,
94,5,TRUE,3,310,195,,,,
123,2,TRUE,3,157,42,,,,
129,2,TRUE,3,121,342,,,,
130,5,TRUE,3,194,267,,,,
132,1,TRUE,3,75,18,,,,
135,0,TRUE,3,1,94,,,,
140,2,TRUE,3,1,44,,,,
145,0,TRUE,3,161,179,,,,
157,6,TRUE,3,20,216,,,,
161,4,TRUE,3,238,286,,,,
169,3,TRUE,3,319,130,,,,
177,0,TRUE,3,264,6,,,,
179,8,TRUE,3,203,257,,,,
187,5,TRUE,3,139,293,,,,
198,5,TRUE,3,0,241,,,,
200,4,TRUE,3,5,283,,,,
201,6,TRUE,3,313,307,,,,
203,5,TRUE,3,133,266,,,,
207,1,TRUE,3,329,325,,,,
234,6,TRUE,3,75,52,,,,
245,1,TRUE,3,143,4,,,,
250,1,TRUE,3,338,77,,,,
251,1,TRUE,3,33,67,,,,
258,1,TRUE,3,82,6,,,,
259,5,TRUE,3,201,200,,,,
269,2,TRUE,3,141,166,,,,
276,3,TRUE,3,99,204,,,,
281,5,TRUE,3,53,260,,,,
285,6,TRUE,3,179,326,,,,
288,4,TRUE,3,24,133,,,,
300,0,TRUE,3,96,123,,,,
305,4,TRUE,3,278,19,,,,
307,3,TRUE,3,246,243,,,,
318,4,TRUE,3,347,20,,,,
321,3,TRUE,3,179,97,,,,
331,3,TRUE,3,262,89,,,,
334,1,TRUE,3,28,270,,,,
335,0,TRUE,3,23,60,,,,
340,4,TRUE,3,115,146,,,,
344,3,TRUE,3,169,349,,,,
345,2,TRUE,3,93,316,,,,
349,3,TRUE,3,167,276,,,,
357,2,TRUE,3,108,197,,,,
4,4,TRUE,4,331,270,59,,,
15,3,TRUE,4,1,18,176,,,
18,8,TRUE,4,310,10,340,,,
24,1,TRUE,4,14,251,294,,,
31,3,TRUE,4,88,173,44,,,
36,4,TRUE,4,356,179,63,,,
43,5,TRUE,4,231,32,155,,,
55,1,TRUE,4,267,222,318,,,
60,2,TRUE,4,211,96,354,,,
63,6,TRUE,4,38,78,174,,,
64,5,TRUE,4,325,168,196,,,
66,3,TRUE,4,162,310,128,,,
85,0,TRUE,4,283,98,65,,,
91,5,TRUE,4,358,47,266,,,
102,2,TRUE,4,236,39,205,,,
112,2,TRUE,4,294,212,331,,,
122,0,TRUE,4,127,142,196,,,
141,3,TRUE,4,268,347,348,,,
149,2,TRUE,4,266,28,183,,,
150,2,TRUE,4,25,96,170,,,
163,3,TRUE,4,98,37,110,,,
174,3,TRUE,4,22,263,148,,,
181,1,TRUE,4,179,283,126,,,
190,7,TRUE,4,271,65,45,,,
191,1,TRUE,4,197,31,49,,,
204,3,TRUE,4,63,75,279,,,
206,3,TRUE,4,356,170,99,,,
214,3,TRUE,4,186,242,154,,,
216,4,TRUE,4,250,190,299,,,
223,1,TRUE,4,32,44,323,,,
224,3,TRUE,4,196,253,266,,,
226,1,TRUE,4,63,277,65,,,
227,4,TRUE,4,307,59,320,,,
230,2,TRUE,4,43,344,223,,,
235,1,TRUE,4,79,158,52,,,
236,3,TRUE,4,34,110,295,,,
252,0,TRUE,4,327,220,315,,,
253,4,TRUE,4,59,36,84,,,
255,5,TRUE,4,120,99,77,,,
267,4,TRUE,4,163,239,269,,,
274,1,TRUE,4,220,309,317,,,
278,3,TRUE,4,190,11,141,,,
286,4,TRUE,4,101,152,38,,,
289,6,TRUE,4,261,139,64,,,
294,4,TRUE,4,341,348,267,,,
303,4,TRUE,4,116,42,33,,,
306,3,TRUE,4,271,138,74,,,
311,1,TRUE,4,52,283,301,,,
312,3,TRUE,4,21,150,106,,,
313,5,TRUE,4,260,48,57,,,
317,2,TRUE,4,238,92,61,,,
319,2,TRUE,4,151,156,108,,,
326,4,TRUE,4,273,70,89,,,
330,2,TRUE,4,74,265,98,,,
339,4,TRUE,4,56,286,137,,,
341,2,TRUE,4,15,141,69,,,
348,8,TRUE,4,41,163,176,,,
358,3,TRUE,4,110,168,259,,,
1,6,TRUE,5,304,294,111,319,,
2,1,TRUE,5,345,66,27,354,,
5,2,TRUE,5,222,72,31,306,,
10,4,TRUE,5,41,19,34,264,,
23,2,TRUE,5,167,17,339,48,,
26,1,TRUE,5,356,227,104,240,,
28,4,TRUE,5,313,58,192,318,,
34,6,TRUE,5,190,187,128,124,,
45,3,TRUE,5,47,232,32,259,,
51,1,TRUE,5,192,32,37,108,,
56,3,TRUE,5,102,36,190,178,,
